id,cuisine
18009,southern_us
28583,southern_us
41580,italian
29752,cajun_creole
35687,italian
38527,southern_us
19666,italian
41217,filipino
28753,mexican
22659,japanese
21749,italian
44967,korean
42969,indian
44883,italian
20827,southern_us
23196,southern_us
35387,cajun_creole
33780,spanish
19001,mexican
16526,southern_us
42455,chinese
47453,southern_us
42478,british
11885,vietnamese
16585,italian
29639,spanish
26245,korean
38516,korean
47520,greek
26212,greek
23696,mexican
14926,thai
13292,mexican
27346,korean
1384,southern_us
15959,mexican
42297,russian
46235,indian
21181,southern_us
9809,cajun_creole
22982,southern_us
23120,southern_us
26743,italian
12741,mexican
7050,italian
22437,mexican
14760,italian
10649,french
48065,korean
39931,chinese
32935,italian
40142,vietnamese
19103,indian
38267,italian
30512,italian
3324,chinese
26197,italian
384,chinese
47230,chinese
39748,indian
41038,filipino
24878,mexican
42624,british
45706,korean
8874,mexican
23878,italian
47234,mexican
24075,russian
46323,italian
22562,italian
11358,british
9201,chinese
38620,southern_us
47638,chinese
21238,indian
11053,chinese
46602,indian
13937,mexican
21876,southern_us
20798,indian
24381,chinese
48178,spanish
45832,italian
27560,chinese
23247,russian
28975,southern_us
43230,italian
9126,italian
13021,cajun_creole
28194,chinese
25617,spanish
36125,italian
16454,mexican
1607,chinese
38526,greek
18755,southern_us
12035,italian
16047,italian
15419,italian
16971,indian
31459,southern_us
27888,irish
13900,italian
12376,southern_us
1658,korean
29431,southern_us
22290,southern_us
28464,french
37953,korean
20814,southern_us
35987,mexican
2329,italian
43237,thai
30647,southern_us
16675,mexican
37722,mexican
32438,southern_us
20287,spanish
43296,indian
6237,southern_us
48560,korean
20810,mexican
34951,italian
31850,filipino
47745,southern_us
37815,korean
9872,italian
5592,italian
27411,mexican
39320,french
40247,vietnamese
19792,mexican
40754,southern_us
14365,mexican
14468,korean
47563,moroccan
19611,italian
7163,mexican
43069,southern_us
27505,filipino
36500,chinese
25932,southern_us
817,italian
8471,mexican
48250,southern_us
9413,mexican
12097,cajun_creole
8416,southern_us
5892,italian
676,mexican
47015,chinese
21891,italian
14630,italian
36195,japanese
25981,mexican
39964,french
28298,indian
31954,french
26620,french
14932,southern_us
47426,greek
1038,italian
8077,southern_us
37141,southern_us
45447,spanish
9624,mexican
45589,southern_us
7265,spanish
31844,mexican
13046,italian
9867,southern_us
29184,italian
34783,italian
2823,russian
18932,mexican
11112,mexican
12859,thai
9365,british
44516,italian
18193,spanish
46545,spanish
9900,italian
14815,thai
39690,italian
22193,southern_us
11739,chinese
27311,southern_us
36920,indian
7861,southern_us
29248,mexican
43142,mexican
7574,indian
8610,mexican
989,spanish
46926,mexican
40816,southern_us
39726,russian
42229,southern_us
10474,italian
22140,mexican
31985,indian
46165,japanese
20860,italian
42494,italian
15968,indian
20484,chinese
26661,french
47182,mexican
22528,french
3861,irish
1203,italian
45040,korean
33287,indian
10097,southern_us
42005,southern_us
12423,italian
39613,mexican
30276,italian
18686,mexican
3031,southern_us
40093,italian
182,italian
46591,mexican
4092,japanese
13722,southern_us
44575,italian
14989,italian
13270,southern_us
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,filipino
11735,southern_us
27935,italian
28198,mexican
37765,indian
33856,italian
30198,italian
42521,spanish
21567,italian
36995,southern_us
24967,thai
45002,korean
48925,cajun_creole
36914,thai
2280,southern_us
14729,southern_us
4594,mexican
2237,mexican
45631,brazilian
2317,korean
23079,southern_us
29333,chinese
48066,italian
15737,italian
30580,italian
1119,british
46336,southern_us
5026,mexican
10749,thai
31020,greek
30805,italian
27653,italian
35060,italian
39174,mexican
49509,italian
31784,filipino
31408,irish
36029,russian
11045,french
6561,indian
26992,southern_us
31179,southern_us
35099,mexican
11018,chinese
17930,mexican
21302,mexican
46352,thai
25132,mexican
7010,spanish
25850,southern_us
19601,korean
7935,italian
34994,chinese
25113,italian
45523,italian
34977,southern_us
