id,cuisine
18009,southern_us
28583,southern_us
41580,italian
29752,cajun_creole
35687,italian
38527,southern_us
19666,italian
41217,greek
28753,mexican
22659,british
21749,greek
44967,greek
42969,mexican
44883,italian
20827,italian
23196,korean
35387,spanish
33780,southern_us
19001,japanese
16526,southern_us
42455,indian
47453,italian
42478,irish
11885,vietnamese
16585,italian
29639,italian
26245,mexican
38516,korean
47520,italian
26212,italian
23696,mexican
14926,southern_us
13292,mexican
27346,korean
1384,italian
15959,mexican
42297,chinese
46235,indian
21181,italian
9809,jamaican
22982,cajun_creole
23120,italian
26743,italian
12741,irish
7050,italian
22437,greek
14760,italian
10649,italian
48065,french
39931,chinese
32935,cajun_creole
40142,southern_us
19103,indian
38267,italian
30512,italian
3324,chinese
26197,mexican
384,indian
47230,chinese
39748,cajun_creole
41038,italian
24878,mexican
42624,italian
45706,mexican
8874,mexican
23878,italian
47234,mexican
24075,japanese
46323,korean
22562,italian
11358,french
9201,southern_us
38620,southern_us
47638,italian
21238,indian
11053,mexican
46602,indian
13937,mexican
21876,southern_us
20798,italian
24381,chinese
48178,italian
45832,italian
27560,korean
23247,southern_us
28975,jamaican
43230,italian
9126,korean
13021,cajun_creole
28194,greek
25617,indian
36125,italian
16454,mexican
1607,chinese
38526,italian
18755,southern_us
12035,italian
16047,italian
15419,italian
16971,korean
31459,southern_us
27888,irish
13900,italian
12376,southern_us
1658,korean
29431,italian
22290,italian
28464,italian
37953,korean
20814,mexican
35987,italian
2329,italian
43237,mexican
30647,southern_us
16675,korean
37722,chinese
32438,southern_us
20287,filipino
43296,indian
6237,thai
48560,korean
20810,mexican
34951,italian
31850,italian
47745,southern_us
37815,mexican
9872,italian
5592,italian
27411,japanese
39320,italian
40247,french
19792,mexican
40754,italian
14365,mexican
14468,british
47563,mexican
19611,italian
7163,mexican
43069,mexican
27505,greek
36500,chinese
25932,southern_us
817,italian
8471,mexican
48250,southern_us
9413,korean
12097,southern_us
8416,cajun_creole
5892,italian
676,french
47015,chinese
21891,italian
14630,italian
36195,japanese
25981,mexican
39964,italian
28298,indian
31954,french
26620,french
14932,southern_us
47426,southern_us
1038,southern_us
8077,southern_us
37141,southern_us
45447,spanish
9624,vietnamese
45589,southern_us
7265,chinese
31844,mexican
13046,italian
9867,italian
29184,italian
34783,italian
2823,southern_us
18932,mexican
11112,mexican
12859,thai
9365,mexican
44516,italian
18193,mexican
46545,italian
9900,italian
14815,thai
39690,italian
22193,cajun_creole
11739,indian
27311,mexican
36920,indian
7861,italian
29248,mexican
43142,mexican
7574,italian
8610,mexican
989,japanese
46926,japanese
40816,southern_us
39726,mexican
42229,southern_us
10474,italian
22140,mexican
31985,indian
46165,japanese
20860,italian
42494,italian
15968,italian
20484,filipino
26661,filipino
47182,mexican
22528,french
3861,mexican
1203,italian
45040,italian
33287,indian
10097,chinese
42005,italian
12423,italian
39613,mexican
30276,italian
18686,mexican
3031,southern_us
40093,italian
182,korean
46591,mexican
4092,chinese
13722,southern_us
44575,italian
14989,italian
13270,korean
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,japanese
11735,italian
27935,italian
28198,mexican
37765,mexican
33856,greek
30198,italian
42521,cajun_creole
21567,italian
36995,french
24967,thai
45002,mexican
48925,vietnamese
36914,korean
2280,southern_us
14729,southern_us
4594,greek
2237,mexican
45631,thai
2317,mexican
23079,mexican
29333,chinese
48066,italian
15737,italian
30580,mexican
1119,greek
46336,indian
5026,mexican
10749,indian
31020,french
30805,italian
27653,italian
35060,italian
39174,mexican
49509,italian
31784,filipino
31408,french
36029,filipino
11045,chinese
6561,cajun_creole
26992,southern_us
31179,southern_us
35099,mexican
11018,japanese
17930,mexican
21302,french
46352,thai
25132,mexican
7010,spanish
25850,southern_us
19601,chinese
7935,italian
34994,southern_us
25113,italian
45523,korean
34977,southern_us
7124,italian
27514,southern_us
27178,mexican
