id,cuisine
18009,southern_us
28583,southern_us
41580,italian
29752,cajun_creole
35687,italian
38527,southern_us
19666,french
41217,chinese
28753,indian
22659,british
21749,italian
44967,greek
42969,indian
44883,italian
20827,southern_us
23196,vietnamese
35387,southern_us
33780,southern_us
19001,mexican
16526,mexican
42455,japanese
47453,mexican
42478,french
11885,vietnamese
16585,italian
29639,jamaican
26245,mexican
38516,korean
47520,italian
26212,mexican
23696,mexican
14926,thai
13292,french
27346,indian
1384,korean
15959,thai
42297,southern_us
46235,indian
21181,southern_us
9809,cajun_creole
22982,cajun_creole
23120,chinese
26743,french
12741,mexican
7050,italian
22437,french
14760,italian
10649,spanish
48065,korean
39931,korean
32935,italian
40142,thai
19103,indian
38267,italian
30512,italian
3324,chinese
26197,french
384,japanese
47230,chinese
39748,mexican
41038,french
24878,southern_us
42624,french
45706,korean
8874,mexican
23878,italian
47234,russian
24075,jamaican
46323,vietnamese
22562,italian
11358,mexican
9201,japanese
38620,japanese
47638,jamaican
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,cajun_creole
20798,vietnamese
24381,chinese
48178,filipino
45832,italian
27560,jamaican
23247,southern_us
28975,mexican
43230,french
9126,indian
13021,cajun_creole
28194,vietnamese
25617,mexican
36125,italian
16454,mexican
1607,chinese
38526,thai
18755,southern_us
12035,italian
16047,italian
15419,italian
16971,indian
31459,southern_us
27888,mexican
13900,italian
12376,indian
1658,korean
29431,southern_us
22290,southern_us
28464,italian
37953,jamaican
20814,cajun_creole
35987,southern_us
2329,italian
43237,mexican
30647,southern_us
16675,mexican
37722,italian
32438,japanese
20287,thai
43296,indian
6237,japanese
48560,korean
20810,mexican
34951,italian
31850,chinese
47745,southern_us
37815,filipino
9872,italian
5592,italian
27411,thai
39320,irish
40247,jamaican
19792,mexican
40754,italian
14365,mexican
14468,french
47563,mexican
19611,italian
7163,mexican
43069,mexican
27505,chinese
36500,japanese
25932,southern_us
817,italian
8471,mexican
48250,southern_us
9413,mexican
12097,cajun_creole
8416,southern_us
5892,italian
676,french
47015,thai
21891,italian
14630,italian
36195,indian
25981,mexican
39964,french
28298,indian
31954,french
26620,italian
14932,brazilian
47426,indian
1038,italian
8077,southern_us
37141,southern_us
45447,spanish
9624,mexican
45589,southern_us
7265,mexican
31844,brazilian
13046,italian
9867,southern_us
29184,spanish
34783,italian
2823,vietnamese
18932,mexican
11112,mexican
12859,thai
9365,italian
44516,mexican
18193,mexican
46545,southern_us
9900,italian
14815,vietnamese
39690,italian
22193,southern_us
11739,southern_us
27311,thai
36920,indian
7861,mexican
29248,mexican
43142,mexican
7574,mexican
8610,mexican
989,italian
46926,mexican
40816,mexican
39726,mexican
42229,southern_us
10474,italian
22140,mexican
31985,indian
46165,japanese
20860,italian
42494,italian
15968,french
20484,filipino
26661,chinese
47182,mexican
22528,french
3861,thai
1203,french
45040,french
33287,indian
10097,japanese
42005,mexican
12423,spanish
39613,mexican
30276,southern_us
18686,southern_us
3031,southern_us
40093,italian
182,vietnamese
46591,mexican
4092,korean
13722,southern_us
44575,italian
14989,italian
13270,southern_us
25529,italian
12140,thai
23127,mexican
13523,italian
41270,italian
8362,japanese
11735,french
27935,italian
28198,mexican
37765,indian
33856,italian
30198,italian
42521,italian
21567,southern_us
36995,irish
24967,thai
45002,thai
48925,french
36914,jamaican
2280,southern_us
14729,cajun_creole
4594,mexican
2237,mexican
45631,thai
2317,japanese
23079,southern_us
29333,chinese
48066,mexican
15737,italian
30580,french
1119,french
46336,thai
5026,mexican
10749,italian
31020,mexican
30805,spanish
27653,italian
35060,italian
39174,mexican
49509,italian
31784,italian
31408,southern_us
36029,mexican
11045,korean
6561,mexican
26992,southern_us
31179,southern_us
35099,mexican
11018,thai
17930,mexican
21302,greek
46352,thai
25132,mexican
7010,spanish
25850,southern_us
19601,chinese
7935,italian
34994,indian
25113,italian
45523,jamaican
